y,treat,gp_id
0.439,1,1
2.74,1,1
0.346,1,1
0.484,1,1
0.209,1,1
0.419,1,1
1.311,1,1
0.745,1,1
1.919,1,1
0.205,1,1
0.449,1,1
0.888,1,2
0.809,1,2
1.664,1,2
0.405,1,2
0.642,1,2
0.824,1,2
0.551,1,2
5.455,1,2
1.298,1,2
0.373,1,2
0.561,1,2
0.317,1,2
0.875,1,2
0.682,1,2
1.873,1,3
0.283,1,3
0.21,1,3
0.224,1,3
0.198,1,3
0.148,1,3
0.78,1,3
0.245,1,3
0.996,1,3
0.739,1,4
0.106,1,4
0.155,1,4
0.228,1,4
0.634,1,4
1.123,1,4
0.565,1,4
0.111,1,4
0.446,1,4
2.241,1,4
1.714,1,5
1.868,1,5
0.612,1,5
0.201,1,5
0.493,1,5
0.506,1,5
0.211,1,5
0.172,1,5
1.441,1,5
2.468,1,5
0.32,1,5
0.655,1,5
1.416,1,5
0.176,1,5
0.158,1,5
0.148,1,5
0.884,1,5
0.388,1,5
0.416,1,6
0.551,1,6
0.371,1,6
0.244,1,6
0.213,1,6
1.07,1,6
0.361,1,6
0.637,1,6
1.314,1,6
0.395,1,6
1.457,1,6
1.524,1,6
0.812,1,6
0.597,1,7
0.088,1,7
0.124,1,7
3.622,1,7
0.118,1,7
0.787,1,7
1.886,1,7
0.448,1,7
0.099,1,7
1.111,1,7
0.154,1,7
0.966,1,7
0.418,1,7
0.442,1,8
0.827,1,8
0.86,1,8
3.103,1,8
0.48,1,8
1.234,1,8
0.71,1,8
0.682,1,8
0.597,1,8
0.962,1,8
0.835,1,8
3.351,1,8
0.887,1,8
0.958,1,9
0.511,1,9
0.857,1,9
1.133,1,9
0.672,1,9
0.36,1,9
1.806,1,9
0.739,1,9
0.28,1,9
1.629,1,9
0.271,1,9
0.285,1,9
1.538,1,9
3.348,1,9
1.257,1,9
0.156,1,9
1.611,1,9
0.617,1,9
0.737,1,9
0.654,1,10
0.356,1,10
0.27,1,10
0.29,1,10
0.096,1,10
0.29,1,10
0.271,1,10
3.766,1,11
0.278,1,11
0.91,1,11
1.293,1,11
1.28,1,11
1.06,1,11
4.15,1,11
2.778,1,11
1.282,1,11
0.701,1,12
0.623,1,12
0.751,1,12
0.556,1,12
1.46,1,12
0.816,1,12
3.712,1,12
1.797,1,12
0.324,1,12
0.399,1,12
1.394,1,12
0.427,1,12
0.284,1,12
1.036,1,12
0.743,1,12
0.178,1,12
0.313,1,12
0.167,1,12
0.198,1,12
0.923,1,12
0.623,1,12
0.983,1,12
0.188,1,13
0.319,1,13
1.556,1,13
0.441,1,13
0.523,1,13
0.523,1,13
0.545,1,13
0.987,1,13
0.274,1,13
1.678,1,13
0.384,1,14
0.399,1,14
0.088,1,14
0.149,1,14
0.482,1,14
0.58,1,14
1,1,14
1.361,1,14
1.296,1,14
0.688,1,14
0.36,1,14
0.19,1,14
0.186,1,14
0.571,1,14
0.26,1,15
1.318,1,15
0.309,1,15
2.489,1,15
0.44,1,15
0.268,1,15
0.356,1,15
1.074,1,15
1.142,1,15
0.614,1,15
0.999,1,16
1.377,1,16
1.307,1,16
0.375,1,16
2.274,1,16
0.859,1,16
2.435,1,16
0.929,1,16
